4, 6, 11, 14, 25, 27, 28, 32, 33, 35, 36, 37, 38, 39, 40, 41, 59, 61, 67, 70
4, 6, 14, 17, 21, 22, 24, 25, 33, 41, 45, 47, 49, 52, 58, 59, 60, 61, 65, 70
1, 5, 10, 11, 13, 15, 19, 21, 22, 25, 26, 27, 29, 36, 44, 45, 46, 55, 63, 66
2, 3, 11, 13, 17, 18, 24, 26, 27, 32, 38, 41, 49, 53, 58, 63, 64, 65, 66, 69
3, 5, 7, 10, 13, 14, 15, 16, 17, 19, 26, 28, 33, 37, 42, 57, 60, 63, 64, 70
2, 8, 9, 13, 14, 19, 30, 41, 42, 43, 44, 46, 49, 54, 57, 58, 60, 61, 62, 64
2, 3, 4, 6, 14, 24, 25, 26, 29, 36, 41, 45, 47, 50, 57, 60, 61, 64, 67, 68
3, 5, 9, 10, 11, 14, 18, 28, 32, 33, 35, 39, 40, 45, 48, 50, 51, 58, 66, 67
3, 4, 5, 14, 19, 22, 26, 30, 32, 34, 37, 38, 39, 41, 46, 47, 55, 59, 60, 66
4, 5, 9, 10, 15, 18, 19, 23, 27, 30, 34, 44, 46, 48, 49, 52, 58, 62, 65, 70
5, 6, 8, 9, 16, 17, 18, 23, 29, 31, 34, 35, 38, 39, 41, 45, 54, 60, 64, 70
2, 6, 8, 13, 15, 16, 21, 24, 26, 27, 31, 33, 34, 45, 46, 49, 51, 52, 56, 63
6, 8, 12, 13, 20, 22, 27, 28, 30, 34, 39, 40, 44, 46, 51, 64, 66, 67, 68, 70
2, 6, 8, 11, 13, 14, 16, 17, 25, 27, 28, 29, 31, 32, 41, 48, 52, 60, 64, 69
1, 2, 3, 6, 14, 15, 24, 27, 28, 30, 37, 41, 45, 49, 56, 59, 60, 62, 69, 70
1, 4, 8, 13, 18, 20, 22, 31, 36, 37, 39, 42, 44, 49, 52, 58, 59, 61, 64, 70
1, 3, 4, 5, 9, 10, 21, 22, 24, 25, 34, 36, 38, 39, 43, 46, 48, 53, 59, 70
1, 2, 5, 7, 14, 15, 17, 18, 22, 36, 38, 39, 47, 48, 52, 53, 60, 63, 65, 68
6, 9, 14, 16, 18, 21, 24, 25, 29, 31, 33, 38, 43, 45, 46, 48, 53, 54, 55, 66
4, 8, 19, 27, 28, 32, 35, 36, 39, 40, 41, 43, 44, 52, 53, 57, 62, 66, 69, 70
4, 5, 6, 8, 9, 11, 12, 32, 33, 35, 37, 43, 45, 50, 53, 54, 65, 66, 69, 70
